gene,cluster,p_val,avg_logFC,pct.1,pct.2,p_val_adj
XRCC1,4,0.7128283112567121,-0.1083517646060203,0.342,0.322,1
BRD7,4,0.7130336623718392,-0.06474301321569881,0.434,0.361,1
MRPL40,4,0.7133932927986392,-0.06135368337715663,0.658,0.525,1
RPS6KC1,4,0.7134325000732511,-0.024189872054116407,0.158,0.137,1
TMEM165,4,0.7135726277215946,-0.09816933752343726,0.711,0.606,1
PPARD,4,0.713816212150304,-0.10745945959677503,0.224,0.215,1
FBXO3,4,0.7141580746382941,-0.02955122759530779,0.237,0.211,1
PDRG1,4,0.7141790102569643,-0.05758439537757665,0.408,0.36,1
TNKS,4,0.7142957690003795,-0.047347835107663355,0.224,0.232,1
BAZ1A,4,0.7144408136720126,-0.10045369084195788,0.461,0.427,1
OTUD6B,4,0.7149519673649329,-0.040133164717681996,0.105,0.116,1
NBPF1,4,0.7150339691197767,-0.04213809138060787,0.211,0.175,1
ZNF598,4,0.7151110997330079,-0.06528743194140013,0.132,0.137,1
RALY,4,0.7152672375914686,-0.04641080516357299,0.75,0.691,1
ILK,4,0.7158854326599456,-0.1277011800722212,0.632,0.549,1
CLEC11A,4,0.7161315544021412,-0.039927592883309715,0.566,0.511,1
ENGASE,4,0.7161711325435833,-0.024036432400639386,0.105,0.091,1
KAT7,4,0.7162961957566494,-0.09114182153920647,0.289,0.236,1
TEX10,4,0.7164047400912825,-0.00765818428751433,0.145,0.126,1
PRKAR2A,4,0.7164373130497993,-0.062310276506314044,0.592,0.476,1
SHC1,4,0.7164780630499927,-0.0992350345060457,0.434,0.38,1
SIAH1,4,0.7165278735757148,-0.04936803913322341,0.395,0.331,1
EIF2D,4,0.7165649521189248,-0.11957114713997163,0.474,0.425,1
ENTPD1-AS1,4,0.7168270190959006,-0.0307833772471579,0.092,0.102,1
TCTE3,4,0.7170448239266277,-0.03281223420660413,0.132,0.112,1
TMEM187,4,0.7170648299073993,-0.03218816098044253,0.092,0.101,1
MAML1,4,0.7171829153435938,-0.030292608037729915,0.224,0.192,1
DECR2,4,0.7177136364159331,-0.05081902963696347,0.25,0.22,1
TNFAIP8L1,4,0.7180952538246317,-0.04528580704633792,0.105,0.113,1
DLL3,4,0.7184480846213994,-0.032588489671496315,0.224,0.194,1
HS6ST2,4,0.7185394751630809,-0.055266346551621874,0.118,0.126,1
ITGA8,4,0.7187684785774621,-0.07523718715355013,0.132,0.137,1
AARS,4,0.7187829466766945,-0.070927394778968,0.289,0.25,1
PPP5D1,4,0.71889580287216015,-0.061861302955002646,0.118,0.125,1
SPATA2,4,0.719182502614901,-0.018164850911972133,0.118,0.103,1
SEC24A,4,0.7194547303404712,-0.017527970223003342,0.132,0.113,1
SMG6,4,0.7194729351761869,-0.1077481881111152,0.289,0.274,1
KMT2C,4,0.71954414126730315,-0.10563858341537707,0.526,0.472,1
SIPA1L1,4,0.7200714563386321,-0.1370505448643634,0.434,0.341,1
SETBP1,4,0.7200856931247857,0.013336310761879966,0.25,0.224,1
TMBIM6,4,0.7201195068542581,0.020568367800486875,0.961,0.896,1
C12orf73,4,0.7201675478425276,-0.039730656299112044,0.408,0.359,1
PEX26,4,0.7204869514425217,-0.055042414780363896,0.316,0.264,1
ETV3,4,0.7212288130457967,-0.05361605263439789,0.158,0.134,1
SMURF2,4,0.7212934695142628,-0.042875802562838974,0.197,0.169,1
FRG1,4,0.7213733245676623,-0.12778762076463812,0.592,0.524,1
NT5DC1,4,0.7213907260716634,-0.07603380618947722,0.303,0.296,1
NDUFV2,4,0.721414506424866,0.021192633182901988,0.882,0.862,1
CCDC174,4,0.721447389338097,-0.09210755745558272,0.368,0.305,1
G3BP1,4,0.7214773048205627,-0.03653031034019383,0.632,0.534,1
SNAP29,4,0.7216132237261712,-0.09968079128163948,0.5,0.398,1
