gene,cluster,p_val,avg_logFC,pct.1,pct.2,p_val_adj
VASH1,0,0.2422504823516851,0.03226321362284018,0.091,0.167,1
PHYHD1,0,0.2427318855750013,0.018391726264073982,0.138,0.233,1
PUM1,0,0.2427319663354389,0.02314310419779053,0.341,0.533,1
KLHDC8B,0,0.24276424784615647,0.14449449902332662,0.133,0.067,1
GIT2,0,0.24309423534762192,-0.008741493361185168,0.093,0.167,1
TPM3,0,0.2431949109346558,0.21915843666232437,0.603,0.733,1
PSMA6,0,0.24328312109224684,0.041139820531321286,0.178,0.3,1
NASP,0,0.24345388942794924,0.24289482255951966,0.453,0.467,1
KDM3B,0,0.24347589958710622,0.20102624859894969,0.252,0.2,1
SH3GLB1,0,0.24351823493984545,0.24222597100137527,0.528,0.6,1
WASHC4,0,0.24352693126228983,0.05500235491803235,0.201,0.333,1
TMEM147-AS1,0,0.2437159995022148,0.14831389313851034,0.175,0.1,1
DAXX,0,0.2441131833108219,0.02537875787004995,0.229,0.367,1
FKBP8,0,0.24461640221805805,-0.053327129706273624,0.629,0.933,1
RANGAP1,0,0.2446582716183533,0.026978421843403252,0.068,0.133,1
MARK3,0,0.2447583586713955,0.03968347364924363,0.341,0.533,1
MRPL17,0,0.24476025533270906,0.008559736732442758,0.362,0.567,1
KIAA0753,0,0.24476249328353297,0.014144708891991598,0.07,0.133,1
C21orf91,0,0.2447625646051285,0.010441215749649457,0.07,0.133,1
PUS3,0,0.2447625646051285,0.006683982838338667,0.07,0.133,1
ACBD6,0,0.24478122048891435,0.02975134024438475,0.334,0.533,1
LDLR,0,0.2448868813353461,0.03608352351398933,0.136,0.233,1
TMEM8A,0,0.2453321531493471,0.013509388788314258,0.093,0.167,1
PPP4R3B,0,0.24533740531307552,0.2027578561412206,0.371,0.333,1
PISD,0,0.24574316670350255,0.14336432433775048,0.133,0.067,1
NHSL2,0,0.24581927812907586,0.03928398958121161,0.112,0.2,1
ZBTB8A,0,0.2458370078386248,0.08754363678267435,0.215,0.367,1
CKS1B,0,0.2458782553674635,0.11596872695687288,0.652,0.767,1
GTF3A,0,0.2462284023733238,-0.040058085881207406,0.472,0.733,1
ARMCX1,0,0.2464352506792661,0.104512359217588,0.276,0.467,1
SLC35A5,0,0.24650324238185403,0.2464932846081631,0.255,0.2,1
ST20,0,0.24685354217835748,0.014179836813218133,0.189,0.3,1
ZMAT5,0,0.24707828470012871,0.10326426470893907,0.269,0.467,1
C18orf32,0,0.247232202765218,0.24251045890419248,0.393,0.4,1
MAP3K2,0,0.2477407028605241,0.26232178473523715,0.35,0.333,1
GSKIP,0,0.24791616418552062,0.02177878300498909,0.091,0.167,1
DCTN6,0,0.24805942174036177,0.2851524053939623,0.437,0.467,1
TMEM208,0,0.24807817302061932,0.24332225462363277,0.593,0.8,1
VPS26C,0,0.24814681543763917,0.055484189422031954,0.199,0.333,1
CCT7,0,0.24817404193229034,-0.0031838722983760226,0.39,0.6,1
CYB561D2,0,0.24822798716307445,0.20433728557706127,0.229,0.167,1
ESCO1,0,0.2483930208599923,0.25206911922257574,0.367,0.333,1
TRIP6,0,0.24844812669126573,0.04894086495060268,0.252,0.4,1
NEK7,0,0.24883449900388147,0.2300487551721348,0.252,0.2,1
MLEC,0,0.24952633729660795,0.3170819297488233,0.542,0.733,1
UPF2,0,0.24955637167748115,0.054413608877092734,0.369,0.6,1
PHKB,0,0.2495717476583354,0.03282895938129471,0.229,0.367,1
DR1,0,0.2497530321943415,0.045226458430741634,0.308,0.5,1
TMEM40,0,0.24980357023649558,0.2238979688546277,0.201,0.133,1
ZNF514,0,0.24983919400542642,0.030901524411937026,0.159,0.267,1
ID2,0,0.24984252260426537,0.25993539804169763,0.839,0.967,1
UBA3,0,0.25014976994389454,0.053461621904821316,0.178,0.3,1
ZNF277,0,0.250201176968076,0.07081425177763706,0.355,0.6,1
SLC35G1,0,0.2502081781963838,0.014678189259222665,0.091,0.167,1
USP4,0,0.2502978729999957,0.1635165092356421,0.131,0.067,1
MACF1,0,0.25058270797968935,0.07942061139291856,0.362,0.6,1
GPKOW,0,0.25127544773585536,0.019419233593411023,0.117,0.2,1
STMP1,0,0.25130669757812973,-0.08669143050156913,0.766,0.933,1
MED6,0,0.25148643100214513,0.03405218173720481,0.252,0.4,1
PACS2,0,0.25170587633328007,0.04715887499478866,0.114,0.2,1
LPP,0,0.2517347120754383,0.07134906242237443,0.264,0.433,1
DUSP14,0,0.2518355835678044,0.03773631931584315,0.224,0.367,1
ZFAND2A,0,0.2520782355917468,0.18450345584384253,0.521,0.533,1
LDOC1,0,0.2520951926170223,0.23953534290525647,0.283,0.233,1
RBMXL1,0,0.25211218858637807,0.15341124462441058,0.171,0.1,1
PAIP2,0,0.2521229706750601,0.14334648366833258,0.731,0.867,1
ENC1,0,0.2521324745982426,0.012994016538611333,0.093,0.167,1
CLK1,0,0.2523855176576345,0.26924150264463564,0.381,0.367,1
KDELR1,0,0.2524197857709552,0.13937142139698544,0.813,0.833,1
G6PC3,0,0.2524858895792899,0.23563049810037512,0.367,0.333,1
EIF2B3,0,0.25284559255241684,0.06105438382094994,0.154,0.267,1
TM7SF2,0,0.2532591416115342,0.268671393940936,0.535,0.6,1
