Gene,Prop0,Mean0,Prop1,Mean1,Prop2,Mean2,Prop3,Mean3,Prop4,Mean4
GLYAT,0,0,0.053156146179401995,0.06103371239589532,0,0,0.0423728813559322,0.04052537180462685,0.013157894736842105,0.0049032587057358315
GLYATL2,0.002183406113537118,0.003594084137509659,0.0033222591362126247,5.601610440595228e-4,0.011627906976744186,0.005531508937381241,0.03389830508474576,0.01831537778036433,0.013157894736842105,0.002420065244959004
GLYATL1,0.002183406113537118,0.004412704352338556,0.023255813953488372,0.022468640373014583,0.023255813953488372,0.006419227172329724,0.059322033898305086,0.03900569609865078,0.18421052631578946,0.2597235292992492
FAM111B,0.004366812227074236,0.003558157297581491,0.0664451827242525,0.03175686586446828,0.12790697674418605,0.07820620512406994,0.059322033898305086,0.046004747025573105,0.07894736842105263,0.028872178774153302
FAM111A-DT,0.026200873362445413,0.029281191289429707,0.04318936877076412,0.028106211885690062,0.03488372093023256,0.025683505682404465,0.05084745762711865,0.03052841127304399,0.11842105263157894,0.054920969569141304
FAM111A,0.09606986899563319,0.12692705932455933,0.19269102990033224,0.1680740071825179,0.19767441860465115,0.11209557076492804,0.2033898305084746,0.14105773772897046,0.2894736842105263,0.21196826858608456
DTX4,0.0982532751091703,0.1468440966715303,0.18604651162790697,0.16904589182390356,0.06976744186046512,0.04658389803774419,0.06779661016949153,0.04461151003255738,0.06578947368421052,0.021238168154769876
MPEG1,0,0,0,0,0.005813953488372093,0.0015675258798522765,0,0,0.13157894736842105,0.17544747247914336
OSBP,0.1462882096069869,0.18588901679273379,0.21926910299003322,0.16883797500965492,0.23837209302325582,0.16806004333177418,0.1440677966101695,0.10022952741912687,0.21052631578947367,0.1145862687067178
PATL1,0.09606986899563319,0.10643142489530251,0.16279069767441862,0.1120265287838305,0.19186046511627908,0.11597701631375094,0.1694915254237288,0.09930125055809244,0.25,0.14389876007747288
STX3,0.08078602620087336,0.10762746143237079,0.15614617940199335,0.10301739751752069,0.12209302325581395,0.07150219382059103,0.2711864406779661,0.2577947590506447,0.47368421052631576,0.5581378033780645
MRPL16,0.36899563318777295,0.6237439352229914,0.4152823920265781,0.4694323059818221,0.45930232558139533,0.4009086148183475,0.4322033898305085,0.3971260660796558,0.5263157894736842,0.4351003974276328
MS4A3,0,0,0.0033222591362126247,0.02034825219705166,0,0,0,0,0.05263157894736842,0.44659671523760736
MS4A2,0,0,0,0,0.005813953488372093,0.013135909372734055,0,0,0,0
MS4A6A,0,0,0,0,0,0,0,0,0.17105263157894737,0.5262265547856195
MS4A4A,0,0,0,0,0,0,0.00847457627118644,0.0029439923126472734,0.10526315789473684,0.1907385303927979
MS4A7,0,0,0,0,0,0,0,0,0.17105263157894737,0.5887806535085391
MS4A8,0,0,0,0,0,0,0,0,0,0
MS4A15,0,0,0.0033222591362126247,0.0014123449969020213,0,0,0,0,0,0
CCDC86,0.08733624454148471,0.1134072132244115,0.16279069767441862,0.1140721807323764,0.28488372093023256,0.19318920448943705,0.2033898305084746,0.170316886363807,0.39473684210526316,0.2797566534438452
PTGDR2,0,0,0.0033222591362126247,0.0014123449969020213,0,0,0,0,0,0
PRPF19,0.2183406113537118,0.31379164495953177,0.29900332225913623,0.2615833082709955,0.36046511627906974,0.2566710576166306,0.3135593220338983,0.2830401213773255,0.4342105263157895,0.3715573074019545
TMEM109,0.259825327510917,0.42513061984662703,0.4186046511627907,0.42997185925274467,0.31976744186046513,0.22381678023956836,0.2966101694915254,0.2959521423309085,0.3815789473684211,0.2370200285445437
TMEM132A,0.43231441048034935,0.8659949950728737,0.45182724252491696,0.4922720500655777,0.4941860465116279,0.37803990146082583,0.2711864406779661,0.210637793452942,0.3026315789473684,0.212969046019832
SLC15A3,0.010917030567685589,0.01012248026543088,0.04983388704318937,0.018561694339557913,0.12790697674418605,0.07080900006970185,0.05084745762711865,0.02620122645088026,0.07894736842105263,0.05801703878254422
CD6,0.002183406113537118,0.0031712507095673463,0.0033222591362126247,0.0011825932211627895,0.01744186046511628,0.0036555237616182007,0.03389830508474576,0.01010290709628772,0.06578947368421052,0.025643543625198776
VPS37C,0.0982532751091703,0.12165725461021307,0.15614617940199335,0.12248521091644896,0.16279069767441862,0.09301547608012256,0.1694915254237288,0.13010897474454636,0.23684210526315788,0.10731971472132627
PGA4,0,0,0,0,0,0,0,0,0,0
PGA5,0,0,0,0,0.01744186046511628,0.0072452777315022004,0.00847457627118644,0.0027646808701224813,0.05263157894736842,0.03613201598367959
VWCE,0.004366812227074236,0.0064167061697872185,0.006644518272425249,0.0023054494180457684,0.06395348837209303,0.044300950494655364,0.00847457627118644,0.003026634382566586,0.02631578947368421,0.009008447965052784
DDB1,0.3406113537117904,0.553567920191122,0.46179401993355484,0.5244822911958406,0.4476744186046512,0.3636450921987405,0.576271186440678,0.6728296235563703,0.5,0.3591143684252859
TKFC,0.12008733624454149,0.15669049906010862,0.17275747508305647,0.13174487286002384,0.1686046511627907,0.096102835283556,0.1864406779661017,0.14550236516007295,0.21052631578947367,0.12774864883584347
CYB561A3,0.185589519650655,0.29454924865591936,0.26245847176079734,0.19109505491250267,0.25,0.18986248454289376,0.16101694915254236,0.10411560469263018,0.2631578947368421,0.14119038073499765
TMEM138,0.22489082969432314,0.30903702382371134,0.2956810631229236,0.2495826912441759,0.4011627906976744,0.3268875959247089,0.2627118644067797,0.2133272645115276,0.35526315789473684,0.2574779159109348
TMEM216,0.2576419213973799,0.36594653453624276,0.3222591362126246,0.2850772229765411,0.5,0.41058976821596355,0.3474576271186441,0.3343204587384637,0.4342105263157895,0.29680276214904294
CPSF7,0.2336244541484716,0.3961456067662153,0.3754152823920266,0.35537956808523574,0.3372093023255814,0.24027197402607203,0.3389830508474576,0.2860745041254911,0.3157894736842105,0.19420347308932798
SDHAF2,0.3056768558951965,0.4712843386245442,0.39867109634551495,0.42358353566082474,0.42441860465116277,0.3157351684908239,0.3389830508474576,0.3000901757940932,0.4473684210526316,0.29682230853593283
PPP1R32,0.03275109170305677,0.03331085101403414,0.06312292358803986,0.048202677538717015,0.029069767441860465,0.013553574401216344,0.0423728813559322,0.03170611462854901,0.02631578947368421,0.008516072822771819
LRRC10B,0,0,0.016611295681063124,0.005414318025800603,0.03488372093023256,0.017669729623335476,0,0,0.02631578947368421,0.015887871110197987
SYT7,0.008733624454148471,0.010802562936344622,0.04983388704318937,0.03443682302206663,0.011627906976744186,0.0016458119992287653,0.00847457627118644,0.006179056705203385,0.039473684210526314,0.012817111744820489
DAGLA,0.017467248908296942,0.023926590524914363,0.026578073089700997,0.022242038098942894,0.046511627906976744,0.020523525275669717,0.05084745762711865,0.04499897470851774,0.013157894736842105,0.0052114602094590085
MYRF,0.010917030567685589,0.010722634539034182,0.08637873754152824,0.04328398093228112,0.08139534883720931,0.046632861371663406,0.13559322033898305,0.11148641862031647,0.039473684210526314,0.01774401226186753
TMEM258,0.8144104803493449,2.9892293941101182,0.9269102990033222,3.459593448874259,0.9767441860465116,4.553251735630591,0.9576271186440678,3.680279009974486,0.9868421052631579,4.376954433571019
FEN1,0.06768558951965066,0.07648571278079913,0.1362126245847176,0.10229386142207579,0.22674418604651161,0.18581339689579882,0.1694915254237288,0.14361839343000024,0.2631578947368421,0.1800202525484196
FADS2,0.15065502183406113,0.19078486801069733,0.3089700996677741,0.3056776293281007,0.5523255813953488,0.5239706508880468,0.3644067796610169,0.364317415769255,0.4868421052631579,0.4721640393558656
FADS1,0.31222707423580787,0.493601437208496,0.4883720930232558,0.6671234880578089,0.7558139534883721,1.1216145051568833,0.6016949152542372,0.7534748543685226,0.6578947368421053,1.0779648792113936
FADS3,0.08078602620087336,0.09376155368987033,0.10299003322259136,0.09225697121322819,0.06976744186046512,0.025652080657544898,0.025423728813559324,0.013891013199098468,0.14473684210526316,0.08243624706752788
RAB3IL1,0.28820960698689957,0.44544258210461884,0.2591362126245847,0.22585662436492338,0.12209302325581395,0.08563244722543176,0.06779661016949153,0.0432017822520035,0.15789473684210525,0.14246887804079852
BEST1,0.03711790393013101,0.048832560471426305,0.06312292358803986,0.031067414538394154,0.06395348837209303,0.036487973467507595,0.0847457627118644,0.04191107783649424,0.13157894736842105,0.06513140934276068
FTH1,1,33.53616982585656,0.9966777408637874,32.28351557071996,1,29.87179820517949,1,28.449979997678437,1,40.47826454524556
INCENP,0.002183406113537118,0.001801192966125324,0.013289036544850499,0.0059393392345808045,0.05813953488372093,0.02445443482235058,0.01694915254237288,0.003937159664395369,0.09210526315789473,0.03562018108704118
ASRGL1,0.05021834061135371,0.07012384245832956,0.16611295681063123,0.1322279662163177,0.1686046511627907,0.09960124763183971,0.2457627118644068,0.266050660200674,0.4342105263157895,0.39701224943769386
AHNAK,0.4650655021834061,0.8773487719169862,0.5348837209302325,0.7408506376096975,0.3313953488372093,0.26495705121126933,0.4406779661016949,0.4441884458318691,0.27631578947368424,0.22100520321076128
EEF1G,0.13537117903930132,0.1789045415845888,0.33554817275747506,0.3047705310725184,0.5058139534883721,0.3914568576343993,0.4067796610169492,0.3879248467746501,0.39473684210526316,0.3046211871934831
TUT1,0.0982532751091703,0.12337530207375273,0.132890365448505,0.1239196596733253,0.1569767441860465,0.09360341426814911,0.13559322033898305,0.09237027862796482,0.06578947368421052,0.05018349634069041
MTA2,0.04148471615720524,0.061229447857417484,0.07641196013289037,0.08689530969453463,0.09883720930232558,0.09030657201579478,0.1016949152542373,0.05728226522916169,0.13157894736842105,0.049926831267360965
EML3,0.23799126637554585,0.36943600205210997,0.2956810631229236,0.2654939407990015,0.11046511627906977,0.052846752467898835,0.07627118644067797,0.04905391212005477,0.13157894736842105,0.0637979330249999
ROM1,0.1572052401746725,0.21653370540236022,0.17275747508305647,0.1346605855367993,0.06976744186046512,0.036926375808146894,0.06779661016949153,0.028128331312106854,0.06578947368421052,0.03273754729012596
B3GAT3,0.49563318777292575,0.9748850612517216,0.6245847176079734,0.859257161564497,0.5523255813953488,0.5508627583265637,0.5508474576271186,0.6042834476787543,0.5657894736842105,0.5069751305413639
GANAB,0.3384279475982533,0.6182040513650116,0.4950166112956811,0.5957478167500545,0.5755813953488372,0.5454311201843434,0.4322033898305085,0.4197698514586393,0.631578947368421,0.5939104399663079
INTS5,0.12882096069868995,0.17990947684450523,0.14285714285714285,0.1453972375897083,0.14534883720930233,0.10892710855492722,0.1271186440677966,0.13762032081419842,0.09210526315789473,0.0359162460072483
C11orf98,0.010917030567685589,0.016143469996003655,0.013289036544850499,0.013266221116419646,0.023255813953488372,0.004528276224220273,0.025423728813559324,0.016685374954399965,0.05263157894736842,0.025268492540097956
LBHD1,0.002183406113537118,0.0022300133934604408,0.006644518272425249,0.0028461400993673213,0.005813953488372093,0.0029135321916171856,0.00847457627118644,0.001991113263283314,0.02631578947368421,0.011802661617242138
CSKMT,0.14410480349344978,0.20223426839105144,0.19601328903654486,0.1576865441736709,0.2558139534883721,0.16857500762855468,0.2033898305084746,0.20525622915304798,0.32894736842105265,0.19399763397584888
UQCC3,0.4410480349344978,0.8277601244960909,0.5481727574750831,0.6752655516331899,0.6802325581395349,0.6782938787642047,0.5084745762711864,0.5425061842410638,0.6842105263157895,0.7716203198476596
UBXN1,0.7467248908296943,2.0315496922637672,0.8571428571428571,2.0368472060578786,0.872093023255814,2.0337426672429735,0.8728813559322034,2.0400745681342745,0.9736842105263158,2.088681795385477
