gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
HEY1,0.0187070666599239,0.6822977315324431,0.342,0.08,1
NDUFS4,0.004625635792202839,0.6779022760664375,0.579,0.24,1
ITM2A,0.009719773573454493,0.6778256497334516,0.237,0,1
RGS2,0.0754702332613104,0.6745782163149898,0.316,0.12,1
PKN2,0.00344413166770192,0.6738705681068918,0.368,0.04,1
XIST,0.008782730571920135,0.6735020323929364,0.842,0.68,1
MKI67,0.053893858991500704,0.6719787274833094,0.211,0.04,1
HES1,0.01691954490163294,0.6710401537410453,0.289,0.04,1
HAUS1,0.02508768499565682,0.6696104359727498,0.184,0,1
FSCN1,0.00633105774440339,0.6674953404913219,0.447,0.12,1
GPC3,0.0062604813349698895,0.6641726721280972,0.868,0.56,1
SNRPD3,0.01943816583827427,0.6639858396529041,0.474,0.2,1
CWC27,0.01778192876084367,0.6636597562948551,0.342,0.08,1
ZFAND5,0.010097514177350131,0.6590841725034637,0.316,0.04,1
UFD1,0.015998351443115684,0.6583328949454559,0.289,0.04,1
MRPL42,0.01605120951567731,0.6550202285195748,0.342,0.08,1
WSB1,0.004373130208832509,0.6540128854074037,0.789,0.44,1
MRPL9,0.010097514177350131,0.6527068716231956,0.316,0.04,1
MDK,0.0150665355884022,0.6525440616184697,0.763,0.64,1
RPL8,1.2992718510283303e-6,0.6524455131476405,1,0.96,0.02444190206154495
HNRNPR,0.012354587863964027,0.6511674537227787,0.763,0.64,1
ERRFI1,0.05108384225115831,0.6509535171033498,0.211,0.04,1
GGA2,0.03988307556833399,0.6495682423921013,0.158,0,1
COX20,0.01778192876084367,0.6466728693562069,0.342,0.08,1
HMGB1,0.004524838725134674,0.6452380443138637,0.921,0.88,1
TMEM101,0.012023229878398982,0.6451977167140643,0.289,0.04,1
RPS18,2.383721887325762e-6,0.6444520258422579,1,1,0.04484257614437224
PRDX4,0.011260099309199086,0.6439894770687814,0.421,0.12,1
COL4A3BP,0.014190830901982395,0.6436502967526164,0.368,0.08,1
GSTP1,0.00934390309125913,0.6436170253244586,0.816,0.72,1
DCLRE1C,0.04482110841059638,0.6429650151434106,0.289,0.08,1
PDAP1,0.014983574099261182,0.641856177138633,0.5,0.24,1
RPL28,2.662526182210894e-4,0.6395739262525644,1,0.84,1
C17orf58,0.08937276728806483,0.6393144367601417,0.237,0.08,1
CTSC,0.0410692532958747,0.6388149906120884,0.237,0.04,1
MEIS2,0.023733555233002093,0.6361137024459077,0.263,0.04,1
GDI2,0.009043809887317494,0.6339831433799974,0.632,0.36,1
CCZ1B,0.015679651239391496,0.6332825573241181,0.211,0,1
CYC1,0.02643097846170907,0.6325020169139453,0.421,0.16,1
RAD51C,0.009719773573454493,0.6323664085273769,0.237,0,1
EML4,0.023963510965717725,0.632174466728527,0.421,0.12,1
RAB10,0.02117381423897473,0.6296908931036468,0.421,0.16,1
ID1,0.04385939382773171,0.6292198194138114,0.632,0.36,1
HMGA2,0.011342578924401749,0.628994587728992,0.289,0.04,1
KRIT1,0.006679821118730687,0.6280163630233958,0.342,0.04,1
HOXB-AS3,0.015679651239391496,0.6277266061866651,0.211,0,1
MTPN,0.006977124998377249,0.6232736488898987,0.553,0.2,1
COL1A1,0.07616252276336367,0.6222191716928922,0.263,0.08,1
SPART,0.015679651239391496,0.6199837338538117,0.211,0,1
GPATCH8,0.11545541083143115,0.6199757050455504,0.395,0.24,1
RPS8,5.7156824462757595e-8,0.6184677273796773,1,1,0.0010752341817933959
RPS11,7.849067846030819e-4,0.6181064213368894,0.974,0.88,1
SERPING1,0.03988307556833399,0.617912764832581,0.158,0,1
CD2BP2,0.015679651239391496,0.6170671987050192,0.211,0,1
RNF8,0.015679651239391496,0.6151109824283147,0.211,0,1
PTTG1,0.15551385920639077,0.614990271585805,0.263,0.12,1
SUPT6H,0.005967916423501734,0.6145928129137141,0.263,0,1
ANKS3,0.015679651239391496,0.6139989926020257,0.211,0,1
SOX11,0.009719773573454493,0.613146692007611,0.237,0,1
MT-ND1,0.0026352181926645297,0.6131405279989774,0.868,0.76,1
COL4A1,0.009719773573454493,0.6118303523516819,0.237,0,1
POLR1C,0.015679651239391496,0.611569251253179,0.211,0,1
RPL36A,0.024979236895976538,0.6109232563045748,0.526,0.24,1
FAM13A,0.02508768499565682,0.610103174276484,0.184,0,1
RPS15A,1.0091340359556678e-6,0.6090289611894675,1,1,0.018983829484398022
EGR1,0.002847615618027859,0.6084788290123399,0.526,0.16,1
RACK1,2.831781488530921e-5,0.6064330682559849,0.974,0.96,0.5327147336224369
