p_val,avg_logFC,pct.1,pct.2,p_val_adj
5.472955070308876e-13,0.847145894551236,0.999,1,1.0295723078265058e-8
5.527981296321788e-13,0.9069901420170927,0.999,0.88,1.0399238414640547e-8
5.54132366304333e-13,-1.8191082568477808,0.805,0.96,1.0424338074917113e-8
5.606626423446334e-13,2.0921832671716327,0.873,0.04,1.0547185627787245e-8
6.294928688285794e-13,-0.30424416932103626,0.003,0.12,1.1842019848403237e-8
7.383380589528898e-13,0.9768772642660104,1,0.8,1.3889615565021763e-8
7.660963885047641e-13,1.5318025169395177,0.936,0.28,1.4411805260551622e-8
1.4264067076121838e-12,-0.47193009947611614,0.007,0.16,2.68335629836004e-8
1.777095765469496e-12,1.4263376396093472,0.852,0.04,3.3430725540012156e-8
2.537516629875067e-12,-0.6934729873209968,0.012,0.2,4.7735762841209756e-8
2.954740755155688e-12,-0.5869685322119474,0.025,0.28,5.55845830859888e-8
3.0420769004059794e-12,1.4570944714976322,0.939,0.24,5.7227550650437285e-8
3.434576913487767e-12,1.3230231194966364,0.869,0.04,6.461126089653187e-8
3.980921404950416e-12,1.2290823810810416,0.992,0.68,7.488909346992722e-8
4.348670115875064e-12,-0.7731548906232601,0.019,0.24,8.180718221984171e-8
6.0356034469332136e-12,0.7116690983450118,1,1,1.1354177204370762e-7
6.439300939750824e-12,1.608619283196775,0.935,0.32,1.211361292785925e-7
6.838958835692721e-12,1.3594601471869034,0.801,0,1.2865449361705148e-7
1.0708279291425982e-11,1.293386475513444,0.793,0,2.0144415003030557e-7
1.3221210106376766e-11,-0.7859556586399234,0.995,1,2.487174045211597e-7
1.667490847671748e-11,1.3780626342834876,0.785,0,3.136883782640092e-7
1.988449008971824e-11,1.2201723632739447,0.891,0.16,3.740670275677795e-7
2.401794722122801e-11,1.1890322961887878,0.779,0,4.518256231257413e-7
3.46233451024304e-11,0.7195129153948319,0.997,1,6.513343680669206e-7
3.530905817559775e-11,-0.485732445042178,0.008,0.16,6.642340023993448e-7
3.7028475932394496e-11,1.2537677095042838,0.771,0,6.965796892402052e-7
3.935117311845254e-11,1.046436705177647,0.979,0.56,7.402742687043291e-7
5.7167066269849536e-11,0.6797901704872018,0.999,1,1.0754268506684095e-6
5.776881035604552e-11,1.0685357893555536,0.964,0.76,1.0867468604179282e-6
7.146745430452238e-11,-0.3919407074838011,0.004,0.12,1.344445750376675e-6
8.380002863037383e-11,-0.3566164257619342,0.004,0.12,1.5764461385945925e-6
8.808868568894192e-11,1.5614293260622039,0.825,0.08,1.6571243551803754e-6
9.95590328749012e-11,1.3391651039669321,0.752,0,1.8729045264426414e-6
1.3219813306896194e-10,1.2199316744750566,0.815,0.08,2.486911279293312e-6
1.4532926587619265e-10,-0.6870151088598977,1,1,2.733934149662936e-6
2.2600409393274796e-10,0.649015612640012,1,0.96,4.251589015062855e-6
2.781686727503444e-10,1.2905794630147842,0.732,0,5.232909071779479e-6
3.070212301052309e-10,-0.8432595894767992,0.033,0.28,5.775683380739604e-6
3.182168643089919e-10,1.5478945585139448,0.729,0,5.986295651380755e-6
3.2770398956793e-10,1.3759528540701234,0.893,0.24,6.1647674517519e-6
4.339962346272607e-10,-0.442446781003782,1,1,8.164337165808028e-6
4.994571366337868e-10,1.1508137115093402,0.887,0.16,9.395787654354797e-6
5.180917304488151e-10,-0.9530680381629366,0.923,1,9.74634163320311e-6
5.566368661142543e-10,0.8390673501703838,0.992,0.76,1.0471452725341352e-5
5.712797429644783e-10,0.758157374371109,0.992,0.76,1.0746914524647766e-5
5.78731111478478e-10,1.0464464416922128,0.717,0,1.0887089669133129e-5
6.688306073113625e-10,1.194508913083062,0.757,0.04,1.2582041384741351e-5
6.882503596225758e-10,1.1038447053571079,0.949,0.36,1.2947365765219897e-5
